,race,age,gender,race std,age std,gender std
EO convnext,0.9546763808560089,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9706104994727939,0.0,0.0,0.0,0.0,0.0
EO aug,0.96240310737361,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9749910640424707,0.0,0.0,0.0,0.0,0.0
