,race,age,gender,race std,age std,gender std
EO convnext,0.9586581197106818,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9669234009558207,0.0,0.0,0.0,0.0,0.0
EO aug,0.9732015699257033,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9752269681855306,0.0,0.0,0.0,0.0,0.0
