,race,age,gender,race std,age std,gender std
EO convnext,0.9203898177774543,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.945497491612079,0.0,0.0,0.0,0.0,0.0
EO aug,0.9359391724991281,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9507716513410559,0.0,0.0,0.0,0.0,0.0
