,race,age,gender,race std,age std,gender std
EO convnext,0.9650517287748556,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9728050191446411,0.0,0.0,0.0,0.0,0.0
EO aug,0.9738188009813937,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9719226581085508,0.0,0.0,0.0,0.0,0.0
