,race,age,gender,race std,age std,gender std
EO convnext,0.9697155219138061,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9734030840278585,0.0,0.0,0.0,0.0,0.0
EO aug,0.9727055643986489,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9749898701465356,0.0,0.0,0.0,0.0,0.0
