,race,age,gender,race std,age std,gender std
EO convnext,0.9537301789483731,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9625008315667537,0.0,0.0,0.0,0.0,0.0
EO aug,0.9656158636811514,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9703360494829911,0.0,0.0,0.0,0.0,0.0
