,race,age,gender,race std,age std,gender std
EO convnext,0.9626101012426238,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9656541682742517,0.0,0.0,0.0,0.0,0.0
EO aug,0.9702032688243519,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9677303599830762,0.0,0.0,0.0,0.0,0.0
