,race,age,gender,race std,age std,gender std
EO convnext,0.8959138430530235,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9182282717561735,0.0,0.0,0.0,0.0,0.0
EO aug,0.9144919513764019,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9314272706883588,0.0,0.0,0.0,0.0,0.0
