,race,age,gender,race std,age std,gender std
EO convnext,0.9158719253242568,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9514814886423004,0.0,0.0,0.0,0.0,0.0
EO aug,0.93419096286499,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9557343973303245,0.0,0.0,0.0,0.0,0.0
