,race,age,gender,race std,age std,gender std
EO convnext,0.947297008374721,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9639274706611342,0.0,0.0,0.0,0.0,0.0
EO aug,0.9603671809492896,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9677996749526582,0.0,0.0,0.0,0.0,0.0
