,race,age,gender,race std,age std,gender std
EO convnext,0.9665839706618612,0.0,0.0,0.0,0.0,0.0
EO mldecoder,0.9713241276425385,0.0,0.0,0.0,0.0,0.0
EO aug,0.9725304463732853,0.0,0.0,0.0,0.0,0.0
EO ensemble,0.9697580737321876,0.0,0.0,0.0,0.0,0.0
